chem_session_id,element_id,element_value
236,1,0.063
237,1,0.098
238,1,0.126
239,1,0.068
240,1,0.009
241,1,0.089
242,1,0.103
243,1,0.096
244,1,0.127
245,1,0.082
246,1,0.111
247,1,0.058
248,1,0.114
249,1,0.041
250,1,0.01
251,1,0.069
252,1,0.162
253,1,0.089
254,1,0.133
255,1,0.042
256,1,0.108
257,1,0.151
258,1,0.101
259,1,0.014
260,1,0.039
261,1,0.027
262,1,0.097
263,1,0.087
264,1,0.127
265,1,0.097
266,1,0.041
267,1,0.136
268,1,0.046
269,1,0.081
270,1,0.151
271,1,0.108
272,1,0.066
273,1,0.098
274,1,0.171
275,1,0.04
276,1,0.038
277,1,0.113
278,1,0.137
279,1,0.12
280,1,0.062
281,1,0.085
282,1,0.024
283,1,0.095
284,1,0.048
285,1,0.084
286,1,0.061
287,1,0.085
288,1,0.097
289,1,0.05
290,1,0.154
291,1,0.076
292,1,0.023
293,1,0.041
294,1,0.089
295,1,0.057
296,1,0.089
297,1,0.092
298,1,0.081
299,1,0.079
300,1,0.065
301,1,0.045
302,1,0.058
303,1,0.07
304,1,0.056
305,1,0.148
306,1,0.048
307,1,0.124
308,1,0.083
309,1,0.102
310,1,0.093
311,1,0.079
312,1,0.051
313,1,0.136
314,1,0.11
315,1,0.173
316,1,0.167
317,1,0.087
318,1,0.104
319,1,0.145
320,1,0.059
321,1,0.016
322,1,0.153
323,1,0.064
324,1,0.103
325,1,0.091
326,1,0.055
327,1,0.084
328,1,0.08
329,1,0.11
330,1,0.018
331,1,0.133
332,1,0.105
333,1,0.162
334,1,0.092
335,1,0.122
336,1,0.1
337,1,0.063
338,1,0.104
339,1,0.072
340,1,0.104
341,1,0.108
342,1,0.121
343,1,0.113
344,1,0.083
345,1,0.101
346,1,0.035
347,1,0.148
348,1,0.172
349,1,0.12
350,1,0.075
351,1,0.138
352,1,0.088
353,1,0.073
354,1,0.119
355,1,0.101
356,1,0.172
357,1,0.095
358,1,0.074
359,1,0.094
360,1,0.101
361,1,0.078
362,1,0.066
363,1,0.023
364,1,0.152
365,1,0.1
366,1,0.164
367,1,0.081
368,1,0.06
369,1,0.087
370,1,0.121
371,1,0.088
372,1,0.156
373,1,0.119
374,1,0.036
375,1,0.111
376,1,0.072
377,1,0.076
378,1,0.132
379,1,0.088
380,1,0.123
381,1,0.089
382,1,0.115
383,1,0.025
384,1,0.042
385,1,0.156
386,1,0.114
387,1,0.087
388,1,0.086
389,1,0.072
390,1,0.085
391,1,0.121
392,1,0.048
393,1,0.097
394,1,0.074
395,1,0.076
396,1,0.1
397,1,0.113
398,1,0.15
399,1,0.073
400,1,0.055
401,1,0.011
402,1,0.13
403,1,0.065
404,1,0.078
405,1,0.114
406,1,0.153
407,1,0.074
408,1,0.025
409,1,0.12
410,1,0.104
411,1,0.117
412,1,0.128
413,1,0.083
414,1,0.087
415,1,0.094
416,1,0.033
417,1,0.077
418,1,0.025
419,1,0.093
420,1,0.17
421,1,0.101
422,1,0.094
423,1,0.141
424,1,0.076
425,1,0.072
426,1,0.126
427,1,0.012
428,1,0.08
429,1,0.081
430,1,0.068
431,1,0.026
432,1,0.113
433,1,0.167
434,1,0.097
435,1,0.026
436,1,0.149
437,1,0.068
438,1,0.108
439,1,0.044
440,1,0.041
441,1,0.063
442,1,0.156
443,1,0.049
444,1,0.061
445,1,0.152
446,1,0.138
447,1,0.085
448,1,0.073
449,1,0.068
450,1,0.102
451,1,0.134
452,1,0.033
453,1,0.154
454,1,0.021
455,1,0.101
456,1,0.117
457,1,0.087
458,1,0.035
459,1,0.146
460,1,0.089
461,1,0.135
462,1,0.098
463,1,0.12
464,1,0.044
465,1,0.142
466,1,0.039
467,1,0.038
468,1,0.151
469,1,0.126
470,1,0.149
471,1,0.117
472,1,0.105
473,1,0.07
474,1,0.126
475,1,0.119
476,1,0.028
477,1,0.093
478,1,0.014
479,1,0.114
480,1,0.023
481,1,0.079
482,1,0.117
483,1,0.084
484,1,0.061
485,1,0.139
486,1,0.093
487,1,0.104
488,1,0.144
489,1,0.119
490,1,0.115
491,1,0.116
492,1,0.134
493,1,0.107
494,1,0.036
495,1,0.057
496,1,0.114
497,1,0.098
498,1,0.097
499,1,0.146
500,1,0.018
501,1,0.035
502,1,0.078
503,1,0.058
504,1,0.117
505,1,0.083
506,1,0.096
507,1,0.066
508,1,0.013
509,1,0.116
510,1,0.071
511,1,0.164
512,1,0.125
513,1,0.152
514,1,0.105
515,1,0.085
516,1,0.096
517,1,0.125
518,1,0.088
519,1,0.085
520,1,0.154
521,1,0.073
522,1,0.077
523,1,0.094
524,1,0.123
525,1,0.033
526,1,0.142
527,1,0.105
528,1,0.035
529,1,0.122
530,1,0.006
531,1,0.141
532,1,0.15
533,1,0.106
534,1,0.132
535,1,0.072
536,1,0.054
537,1,0.121
538,1,0.041
539,1,0.105
540,1,0.07
541,1,0.157
542,1,0.079
543,1,0.078
544,1,0.043
545,1,0.092
546,1,0.012
547,1,0.069
548,1,0.107
549,1,0.092
550,1,0.073
551,1,0.082
552,1,0.152
553,1,0.026
554,1,0.114
555,1,0.008
556,1,0.092
557,1,0.074
558,1,0.04
559,1,0.053
560,1,0.126
561,1,0.111
562,1,0.087
563,1,0.084
564,1,0.121
565,1,0.095
566,1,0.126
567,1,0.056
568,1,0.049
569,1,0.043
570,1,0.077
571,1,0.108
572,1,0.114
573,1,0.075
574,1,0.062
575,1,0.08
576,1,0.059
577,1,0.051
578,1,0.116
579,1,0.02
580,1,0.058
581,1,0.13
582,1,0.117
583,1,0.026
584,1,0.095
585,1,0.111
586,1,0.03
587,1,0.119
588,1,0.074
589,1,0.105
590,1,0.114
591,1,0.008
592,1,0.065
593,1,0.155
594,1,0.098
595,1,0.008
596,1,0.112
597,1,0.024
598,1,0.011
599,1,0.087
600,1,0.1
601,1,0.145
602,1,0.129
603,1,0.148
604,1,0.142
605,1,0.162
606,1,0.155
607,1,0.079
608,1,0.158
609,1,0.165
610,1,0.142
611,1,0.125
612,1,0.146
613,1,0.104
614,1,0.118
615,1,0.201
616,1,0.125
617,1,0.16
618,1,0.142
619,1,0.099
620,1,0.092
621,1,0.106
622,1,0.144
623,1,0.166
624,1,0.152
625,1,0.161
626,1,0.177
627,1,0.135
628,1,0.131
629,1,0.115
630,1,0.209
631,1,0.191
632,1,0.158
633,1,0.129
634,1,0.12
635,1,0.181
636,1,0.175
637,1,0.148
638,1,0.107
639,1,0.135
640,1,0.129
641,1,0.142
642,1,0.121
643,1,0.106
644,1,0.105
645,1,0.194
646,1,0.112
647,1,0.222
648,1,0.151
649,1,0.189
650,1,0.149
651,1,0.143
652,1,0.206
653,1,0.057
654,1,0.12
655,1,0.124
656,1,0.082
657,1,0.166
658,1,0.069
659,1,0.143
660,1,0.173
661,1,0.095
662,1,0.136
663,1,0.127
664,1,0.13
665,1,0.18
666,1,0.149
667,1,0.155
668,1,0.158
669,1,0.154
670,1,0.136
671,1,0.12
672,1,0.202
673,1,0.159
674,1,0.218
675,1,0.052
676,1,0.153
677,1,0.125
678,1,0.11
679,1,0.133
680,1,0.166
681,1,0.132
682,1,0.121
683,1,0.134
684,1,0.175
685,1,0.187
686,1,0.117
687,1,0.154
688,1,0.089
689,1,0.144
690,1,0.195
691,1,0.123
692,1,0.099
693,1,0.131
694,1,0.102
695,1,0.195
696,1,0.138
697,1,0.15
698,1,0.149
699,1,0.165
700,1,0.166
701,1,0.202
702,1,0.136
703,1,0.145
704,1,0.104
705,1,0.07
706,1,0.167
707,1,0.172
708,1,0.186
709,1,0.197
710,1,0.173
711,1,0.118
712,1,0.108
713,1,0.121
714,1,0.224
715,1,0.125
716,1,0.162
717,1,0.155
718,1,0.113
719,1,0.15
720,1,0.115
721,1,0.15
722,1,0.146
723,1,0.161
724,1,0.194
725,1,0.129
726,1,0.163
727,1,0.183
728,1,0.139
729,1,0.135
730,1,0.15
731,1,0.106
732,1,0.113
733,1,0.155
734,1,0.176
735,1,0.248
736,1,0.137
737,1,0.215
738,1,0.084
739,1,0.137
740,1,0.131
741,1,0.124
742,1,0.117
743,1,0.184
744,1,0.153
745,1,0.105
746,1,0.085
747,1,0.182
748,1,0.169
749,1,0.132
750,1,0.143
751,1,0.088
752,1,0.18
753,1,0.094
754,1,0.185
755,1,0.167
756,1,0.076
757,1,0.157
758,1,0.17
759,1,0.142
760,1,0.171
761,1,0.238
762,1,0.12
763,1,0.082
764,1,0.137
765,1,0.118
766,1,0.141
767,1,0.117
768,1,0.168
769,1,0.14
770,1,0.197
771,1,0.164
772,1,0.144
773,1,0.211
774,1,0.183
775,1,0.112
776,1,0.135
777,1,0.193
778,1,0.134
779,1,0.148
780,1,0.108
781,1,0.165
782,1,0.155
783,1,0.073
784,1,0.117
785,1,0.113
786,1,0.223
787,1,0.083
788,1,0.174
789,1,0.155
790,1,0.128
791,1,0.172
792,1,0.134
793,1,0.087
794,1,0.197
795,1,0.144
796,1,0.102
797,1,0.157
798,1,0.142
799,1,0.106
800,1,0.138
801,1,0.182
802,1,0.121
803,1,0.155
804,1,0.076
805,1,0.155
806,1,0.15
807,1,0.165
808,1,0.141
809,1,0.143
810,1,0.122
811,1,0.133
812,1,0.115
813,1,0.146
814,1,0.185
815,1,0.121
816,1,0.165
817,1,0.107
818,1,0.14
819,1,0.111
820,1,0.174
821,1,0.1
822,1,0.108
823,1,0.117
824,1,0.154
825,1,0.138
826,1,0.138
827,1,0.15
828,1,0.106
829,1,0.157
830,1,0.162
831,1,0.169
832,1,0.194
833,1,0.172
834,1,0.103
835,1,0.121
836,1,0.126
837,1,0.087
838,1,0.18
839,1,0.105
840,1,0.127
841,1,0.128
842,1,0.095
843,1,0.18
844,1,0.108
845,1,0.104
846,1,0.097
847,1,0.209
848,1,0.213
849,1,0.145
850,1,0.158
851,1,0.14
852,1,0.182
853,1,0.131
854,1,0.172
855,1,0.198
856,1,0.153
857,1,0.18
858,1,0.199
859,1,0.165
860,1,0.124
861,1,0.135
862,1,0.034
863,1,0.167
864,1,0.151
865,1,0.13
866,1,0.155
867,1,0.142
868,1,0.141
869,1,0.126
870,1,0.175
871,1,0.129
872,1,0.159
873,1,0.107
874,1,0.172
875,1,0.202
876,1,0.176
877,1,0.168
878,1,0.161
879,1,0.101
880,1,0.17
881,1,0.159
882,1,0.121
883,1,0.051
884,1,0.179
885,1,0.072
886,1,0.07
887,1,0.123
888,1,0.202
889,1,0.12
890,1,0.18
891,1,0.163
892,1,0.123
893,1,0.127
894,1,0.118
895,1,0.17
896,1,0.139
897,1,0.153
898,1,0.21
899,1,0.156
900,1,0.11
901,1,0.134
902,1,0.065
903,1,0.119
904,1,0.123
905,1,0.218
906,1,0.182
907,1,0.111
908,1,0.09
909,1,0.12
910,1,0.13
911,1,0.178
912,1,0.186
913,1,0.129
914,1,0.156
915,1,0.168
916,1,0.16
917,1,0.145
918,1,0.187
919,1,0.156
920,1,0.144
921,1,0.17
922,1,0.109
923,1,0.119
924,1,0.171
925,1,0.17
926,1,0.198
927,1,0.117
928,1,0.116
929,1,0.097
930,1,0.114
931,1,0.163
932,1,0.174
933,1,0.113
934,1,0.11
935,1,0.195
936,1,0.125
937,1,0.139
938,1,0.11
939,1,0.148
940,1,0.16
941,1,0.158
942,1,0.093
943,1,0.12
944,1,0.125
945,1,0.124
946,1,0.096
947,1,0.089
948,1,0.137
949,1,0.172
950,1,0.125
951,1,0.122
952,1,0.128
953,1,0.073
954,1,0.12
955,1,0.086
956,1,0.192
957,1,0.186
958,1,0.127
959,1,0.123
960,1,0.08
961,1,0.173
962,1,0.172
963,1,0.079
964,1,0.124
965,1,0.052
966,1,0.141
967,1,0.13
968,1,0.129
969,1,0.093
970,1,0.108
971,1,0.115
972,1,0.167
973,1,0.125
974,1,0.134
975,1,0.164
976,1,0.126
977,1,0.15
978,1,0.129
979,1,0.088
980,1,0.116
981,1,0.144
982,1,0.153
983,1,0.062
984,1,0.149
985,1,0.09
986,1,0.13
987,1,0.184
988,1,0.14
989,1,0.137
990,1,0.085
991,1,0.143
992,1,0.126
993,1,0.123
994,1,0.119
995,1,0.15
996,1,0.178
997,1,0.163
998,1,0.176
999,1,0.143
1000,1,0.144
1001,1,0.198
1002,1,0.133
1003,1,0.128
1004,1,0.215
1005,1,0.162
1006,1,0.167
1007,1,0.111
1008,1,0.123
1009,1,0.094
1010,1,0.117
1011,1,0.159
1012,1,0.131
1013,1,0.109
1014,1,0.142
1015,1,0.134
1016,1,0.12
1017,1,0.133
1018,1,0.148
1019,1,0.099
1020,1,0.172
1021,1,0.159
1022,1,0.101
1023,1,0.181
1024,1,0.174
1025,1,0.164
1026,1,0.17
1027,1,0.174
1028,1,0.115
1029,1,0.154
1030,1,0.124
1031,1,0.142
1032,1,0.086
1033,1,0.116
1034,1,0.143
1035,1,0.126
1036,1,0.145
1037,1,0.131
1038,1,0.132
1039,1,0.125
1040,1,0.148
1041,1,0.156
1042,1,0.114
1043,1,0.108
1044,1,0.152
1045,1,0.115
1046,1,0.16
1047,1,0.14
1048,1,0.093
1049,1,0.163
1050,1,0.188
1051,1,0.143
1052,1,0.1
1053,1,0.156
1054,1,0.129
1055,1,0.154
1056,1,0.153
1057,1,0.083
1058,1,0.137
1059,1,0.088
1060,1,0.154
1061,1,0.105
1062,1,0.093
1063,1,0.127
1064,1,0.121
1065,1,0.165
1066,1,0.15
1067,1,0.128
1068,1,0.127
1069,1,0.12
1070,1,0.164
1071,1,0.117
1072,1,0.193
1073,1,0.112
1074,1,0.187
1075,1,0.159
1076,1,0.135
1077,1,0.153
1078,1,0.121
1079,1,0.158
1080,1,0.153
1081,1,0.165
1082,1,0.114
1083,1,0.153
1084,1,0.176
1085,1,0.164
1086,1,0.142
1087,1,0.113
1088,1,0.072
1089,1,0.227
1090,1,0.09
1091,1,0.143
1092,1,0.157
1093,1,0.123
1094,1,0.118
1095,1,0.131
1096,1,0.134
1097,1,0.172
1098,1,0.194
1099,1,0.15
1100,1,0.176
1101,1,0.137
1102,1,0.169
1103,1,0.177
1104,1,0.13
1105,1,0.169
1106,1,0.178
1107,1,0.156
1108,1,0.153
1109,1,0.175
1110,1,0.115
1111,1,0.157
1112,1,0.082
1113,1,0.17
1114,1,0.114
1115,1,0.154
1116,1,0.176
1117,1,0.114
1118,1,0.144
1119,1,0.057
1120,1,0.203
1121,1,0.111
1122,1,0.165
1123,1,0.166
1124,1,0.085
1125,1,0.054
1126,1,0.197
1127,1,0.108
1128,1,0.07
1129,1,0.087
1130,1,0.158
1131,1,0.132
1132,1,0.1
1133,1,0.132
1134,1,0.121
1135,1,0.14
1136,1,0.08
1137,1,0.161
1138,1,0.166
1139,1,0.126
1140,1,0.087
1141,1,0.103
1142,1,0.193
1143,1,0.164
1144,1,0.162
1145,1,0.114
1146,1,0.152
1147,1,0.138
1148,1,0.129
1149,1,0.166
1150,1,0.157
1151,1,0.133
1152,1,0.134
1153,1,0.19
1154,1,0.171
1155,1,0.24
1156,1,0.174
1157,1,0.169
1158,1,0.115
1159,1,0.196
1160,1,0.096
1161,1,0.155
1162,1,0.147
1163,1,0.106
1164,1,0.134
1165,1,0.095
1166,1,0.132
1167,1,0.176
1168,1,0.061
1169,1,0.166
1170,1,0.148
1171,1,0.129
1172,1,0.155
1173,1,0.095
1174,1,0.161
1175,1,0.127
1176,1,0.137
1177,1,0.123
1178,1,0.154
1179,1,0.146
1180,1,0.209
1181,1,0.099
1182,1,0.065
1183,1,0.162
1184,1,0.179
1185,1,0.088
1186,1,0.101
1187,1,0.193
1188,1,0.123
1189,1,0.139
1190,1,0.145
1191,1,0.138
1192,1,0.126
1193,1,0.172
1194,1,0.156
1195,1,0.085
1196,1,0.14
1197,1,0.176
1198,1,0.166
1199,1,0.172
1200,1,0.207
1201,1,0.207
1202,1,0.247
1203,1,0.158
1204,1,0.361
1205,1,0.347
1206,1,0.318
1207,1,0.261
1208,1,0.271
1209,1,0.198
1210,1,0.17
1211,1,0.292
1212,1,0.276
1213,1,0.268
1214,1,0.179
1215,1,0.205
1216,1,0.239
1217,1,0.32
1218,1,0.209
1219,1,0.205
1220,1,0.34
1221,1,0.273
1222,1,0.307
1223,1,0.327
1224,1,0.245
1225,1,0.289
1226,1,0.16
1227,1,0.291
1228,1,0.233
1229,1,0.433
1230,1,0.247
1231,1,0.279
1232,1,0.222
1233,1,0.266
1234,1,0.384
1235,1,0.328
1236,1,0.251
1237,1,0.266
1238,1,0.227
1239,1,0.209
1240,1,0.304
1241,1,0.305
1242,1,0.3
1243,1,0.272
1244,1,0.324
1245,1,0.24
1246,1,0.2
1247,1,0.27
1248,1,0.217
1249,1,0.49
1250,1,0.238
1251,1,0.256
1252,1,0.384
1253,1,0.275
1254,1,0.232
1255,1,0.297
1256,1,0.229
1257,1,0.23
1258,1,0.396
1259,1,0.302
1260,1,0.317
1261,1,0.293
1262,1,0.297
1263,1,0.302
1264,1,0.238
1265,1,0.247
1266,1,0.258
1267,1,0.233
1268,1,0.193
1269,1,0.277
1270,1,0.264
1271,1,0.223
1272,1,0.268
1273,1,0.275
1274,1,0.302
1275,1,0.251
1276,1,0.2
1277,1,0.265
1278,1,0.305
1279,1,0.279
1280,1,0.261
1281,1,0.311
1282,1,0.32
1283,1,0.25
1284,1,0.285
1285,1,0.354
1286,1,0.384
1287,1,0.206
1288,1,0.249
1289,1,0.194
1290,1,0.235
1291,1,0.327
1292,1,0.37
1293,1,0.198
1294,1,0.192
1295,1,0.243
1296,1,0.286
1297,1,0.242
1298,1,0.454
1299,1,0.276
1300,1,0.3
1301,1,0.261
1302,1,0.214
1303,1,0.288
1304,1,0.321
1305,1,0.345
1306,1,0.236
1307,1,0.33
1308,1,0.197
1309,1,0.318
1310,1,0.318
1311,1,0.227
1312,1,0.306
1313,1,0.285
1314,1,0.292
1315,1,0.251
1316,1,0.301
1317,1,0.267
1318,1,0.192
1319,1,0.282
1320,1,0.32
1321,1,0.283
1322,1,0.277
1323,1,0.267
1324,1,0.304
1325,1,0.243
1326,1,0.347
1327,1,0.163
1328,1,0.378
1329,1,0.183
1330,1,0.32
1331,1,0.355
1332,1,0.288
1333,1,0.301
1334,1,0.231
1335,1,0.227
1336,1,0.314
1337,1,0.272
1338,1,0.172
1339,1,0.358
1340,1,0.342
1341,1,0.307
1342,1,0.295
1343,1,0.395
1344,1,0.328
1345,1,0.245
1346,1,0.271
1347,1,0.277
1348,1,0.288
1349,1,0.219
1350,1,0.273
1351,1,0.218
1352,1,0.181
1353,1,0.241
1354,1,0.371
1355,1,0.284
1356,1,0.418
1357,1,0.373
1358,1,0.273
1359,1,0.22
1360,1,0.241
1361,1,0.255
1362,1,0.346
1363,1,0.255
1364,1,0.229
1365,1,0.274
1366,1,0.227
1367,1,0.278
1368,1,0.216
1369,1,0.33
1370,1,0.299
1371,1,0.227
1372,1,0.39
1373,1,0.276
1374,1,0.284
1375,1,0.279
1376,1,0.183
1377,1,0.223
1378,1,0.248
1379,1,0.195
1380,1,0.231
1381,1,0.203
1382,1,0.319
1383,1,0.295
1384,1,0.364
1385,1,0.275
1386,1,0.227
1387,1,0.281
1388,1,0.217
1389,1,0.33
1390,1,0.351
1391,1,0.27
1392,1,0.326
1393,1,0.303
1394,1,0.269
1395,1,0.321
1396,1,0.286
1397,1,0.252
1398,1,0.28
1399,1,0.283
1400,1,0.242
1401,1,0.291
1402,1,0.299
1403,1,0.254
1404,1,0.233
1405,1,0.453
1406,1,0.286
1407,1,0.247
1408,1,0.218
1409,1,0.284
1410,1,0.331
1411,1,0.235
1412,1,0.302
1413,1,0.19
1414,1,0.214
1415,1,0.18
1416,1,0.21
1417,1,0.306
1418,1,0.347
1419,1,0.282
1420,1,0.335
1421,1,0.266
1422,1,0.268
1423,1,0.349
1424,1,0.355
1425,1,0.261
1426,1,0.288
1427,1,0.277
1428,1,0.196
1429,1,0.23
1430,1,0.231
1431,1,0.433
1432,1,0.237
1433,1,0.324
1434,1,0.298
1435,1,0.276
1436,1,0.288
1437,1,0.241
1438,1,0.361
1439,1,0.281
1440,1,0.283
1441,1,0.224
1442,1,0.297
1443,1,0.271
1444,1,0.272
1445,1,0.151
1446,1,0.447
1447,1,0.198
1448,1,0.3
1449,1,0.245
1450,1,0.271
1451,1,0.383
1452,1,0.218
1453,1,0.182
1454,1,0.28
1455,1,0.195
1456,1,0.2
1457,1,0.23
1458,1,0.258
1459,1,0.23
1460,1,0.23
1461,1,0.275
1462,1,0.234
1463,1,0.282
1464,1,0.183
1465,1,0.418
1466,1,0.288
1467,1,0.255
1468,1,0.238
1469,1,0.368
1470,1,0.184
1471,1,0.364
1472,1,0.231
1473,1,0.188
1474,1,0.22
1475,1,0.318
1476,1,0.267
1477,1,0.181
1478,1,0.36
1479,1,0.275
1480,1,0.364
1481,1,0.369
1482,1,0.22
1483,1,0.24
1484,1,0.244
1485,1,0.32
1486,1,0.23
1487,1,0.288
1488,1,0.266
1489,1,0.373
1490,1,0.16
1491,1,0.299
1492,1,0.304
1493,1,0.244
1494,1,0.315
1495,1,0.231
1496,1,0.336
1497,1,0.261
1498,1,0.389
1499,1,0.233
1500,1,0.22
1501,1,0.308
1502,1,0.244
1503,1,0.239
1504,1,0.203
1505,1,0.278
1506,1,0.202
1507,1,0.285
1508,1,0.459
1509,1,0.367
1510,1,0.228
1511,1,0.362
1512,1,0.336
1513,1,0.187
1514,1,0.266
1515,1,0.285
1516,1,0.387
1517,1,0.265
1518,1,0.227
1519,1,0.288
1520,1,0.26
1521,1,0.301
1522,1,0.274
1523,1,0.301
1524,1,0.333
1525,1,0.437
1526,1,0.275
1527,1,0.204
1528,1,0.367
1529,1,0.289
1530,1,0.268
1531,1,0.239
1532,1,0.257
1533,1,0.214
1534,1,0.193
1535,1,0.368
1536,1,0.268
1537,1,0.325
1538,1,0.378
1539,1,0.247
1540,1,0.35
1541,1,0.347
1542,1,0.175
1543,1,0.284
1544,1,0.25
1545,1,0.151
1546,1,0.33
1547,1,0.237
1548,1,0.239
1549,1,0.301
1550,1,0.257
1551,1,0.252
1552,1,0.345
1553,1,0.236
1554,1,0.281
1555,1,0.304
1556,1,0.266
1557,1,0.211
1558,1,0.422
1559,1,0.348
1560,1,0.424
1561,1,0.209
1562,1,0.272
1563,1,0.253
1564,1,0.288
1565,1,0.231
1566,1,0.154
1567,1,0.339
1568,1,0.232
1569,1,0.314
1570,1,0.349
1571,1,0.319
1572,1,0.295
1573,1,0.251
1574,1,0.303
1575,1,0.226
1576,1,0.237
1577,1,0.364
1578,1,0.364
1579,1,0.36
1580,1,0.28
1581,1,0.289
1582,1,0.23
1583,1,0.229
1584,1,0.276
1585,1,0.181
1586,1,0.181
1587,1,0.344
1588,1,0.276
1589,1,0.366
1590,1,0.249
1591,1,0.213
1592,1,0.376
1593,1,0.306
1594,1,0.327
1595,1,0.342
1596,1,0.24
1597,1,0.264
1598,1,0.253
1599,1,0.214
1600,1,0.319
1601,1,0.264
1602,1,0.29
1603,1,0.287
1604,1,0.314
1605,1,0.408
1606,1,0.307
1607,1,0.235
1608,1,0.27
1609,1,0.337
1610,1,0.255
1611,1,0.292
1612,1,0.208
1613,1,0.317
1614,1,0.298
1615,1,0.329
1616,1,0.249
1617,1,0.233
1618,1,0.26
1619,1,0.182
1620,1,0.311
1621,1,0.362
1622,1,0.196
1623,1,0.3
1624,1,0.24
1625,1,0.269
1626,1,0.266
1627,1,0.371
1628,1,0.188
1629,1,0.34
1630,1,0.329
1631,1,0.317
1632,1,0.292
1633,1,0.233
1634,1,0.152
1635,1,0.288
1636,1,0.304
1637,1,0.164
1638,1,0.304
1639,1,0.386
1640,1,0.328
1641,1,0.229
1642,1,0.196
1643,1,0.313
1644,1,0.248
1645,1,0.337
1646,1,0.282
1647,1,0.248
1648,1,0.316
1649,1,0.304
1650,1,0.16
1651,1,0.408
1652,1,0.247
1653,1,0.374
1654,1,0.241
1655,1,0.192
1656,1,0.326
1657,1,0.352
1658,1,0.15
1659,1,0.211
1660,1,0.321
1661,1,0.28
1662,1,0.331
1663,1,0.265
