heat_id,analysis_date,analysis_type,analysis_status,analysis_lab_id,analysis_eq_id,analyst_id,notes
39,7/26/2020,drop,valid,1,3,3,nothing on my side
40,7/27/2020,drop,valid,1,1,4,nothing on my side
41,7/24/2020,drop,valid,1,2,1,nothing on my side
42,8/23/2020,drop,valid,1,3,2,nothing on my side
43,8/24/2020,drop,valid,1,1,3,nothing on my side
44,8/23/2020,drop,valid,1,2,4,nothing on my side
45,8/25/2020,drop,valid,1,3,1,nothing on my side
46,8/23/2020,drop,valid,1,1,2,nothing on my side
47,8/23/2020,drop,valid,1,2,3,nothing on my side
48,9/23/2020,drop,valid,1,3,4,nothing on my side
49,9/22/2020,drop,valid,1,1,1,nothing on my side
50,9/24/2020,drop,valid,1,2,2,nothing on my side
51,9/22/2020,drop,valid,1,3,3,nothing on my side
52,9/22/2020,drop,valid,1,1,4,nothing on my side
53,10/27/2020,drop,valid,1,2,1,nothing on my side
54,10/25/2020,drop,valid,1,3,2,nothing on my side
55,10/24/2020,drop,valid,1,1,3,nothing on my side
56,10/27/2020,drop,valid,1,2,4,nothing on my side
57,10/26/2020,drop,valid,1,3,1,nothing on my side
58,11/22/2020,drop,valid,1,1,2,nothing on my side
59,11/22/2020,drop,valid,1,2,3,nothing on my side
60,11/24/2020,drop,valid,1,3,4,nothing on my side
61,11/25/2020,drop,valid,1,1,1,nothing on my side
62,11/24/2020,drop,valid,1,2,2,nothing on my side
63,11/25/2020,drop,valid,1,3,3,nothing on my side
64,1/8/2020,drop,valid,1,1,4,nothing on my side
65,1/7/2020,drop,valid,1,2,1,nothing on my side
66,1/6/2020,drop,valid,1,3,2,nothing on my side
67,1/8/2020,drop,valid,1,1,3,nothing on my side
68,1/8/2020,drop,valid,1,2,4,nothing on my side
69,1/9/2020,drop,valid,1,3,1,nothing on my side
70,1/8/2020,drop,valid,1,1,2,nothing on my side
71,1/6/2020,drop,valid,1,2,3,nothing on my side
72,1/9/2020,drop,valid,1,3,4,nothing on my side
73,1/9/2020,drop,valid,1,1,1,nothing on my side
74,1/5/2020,drop,valid,1,2,2,nothing on my side
75,1/8/2020,drop,valid,1,3,3,nothing on my side
76,1/8/2020,drop,valid,1,1,4,nothing on my side
77,1/6/2020,drop,valid,1,2,1,nothing on my side
78,1/6/2020,drop,valid,1,3,2,nothing on my side
79,1/10/2020,drop,valid,1,1,3,nothing on my side
80,1/10/2020,drop,valid,1,2,4,nothing on my side
81,1/8/2020,drop,valid,1,3,1,nothing on my side
82,1/8/2020,drop,valid,1,1,2,nothing on my side
83,1/7/2020,drop,valid,1,2,3,nothing on my side
84,1/8/2020,drop,valid,1,3,4,nothing on my side
85,1/12/2020,drop,valid,1,1,1,nothing on my side
86,1/12/2020,drop,valid,1,2,2,nothing on my side
87,1/8/2020,drop,valid,1,3,3,nothing on my side
88,1/11/2020,drop,valid,1,1,4,nothing on my side
89,1/8/2020,drop,valid,1,2,1,nothing on my side
90,1/12/2020,drop,valid,1,3,2,nothing on my side
91,1/10/2020,drop,valid,1,1,3,nothing on my side
92,1/12/2020,drop,valid,1,2,4,nothing on my side
93,1/13/2020,drop,valid,1,3,1,nothing on my side
94,1/12/2020,drop,valid,1,1,2,nothing on my side
95,1/10/2020,drop,valid,1,2,3,nothing on my side
96,1/13/2020,drop,valid,1,3,4,nothing on my side
97,1/10/2020,drop,valid,1,1,1,nothing on my side
98,1/10/2020,drop,valid,1,2,2,nothing on my side
99,1/11/2020,drop,valid,1,3,3,nothing on my side
100,1/11/2020,drop,valid,1,1,4,nothing on my side
101,1/12/2020,drop,valid,1,2,1,nothing on my side
102,1/13/2020,drop,valid,1,3,2,nothing on my side
103,1/11/2020,drop,valid,1,1,3,nothing on my side
104,1/13/2020,drop,valid,1,2,4,nothing on my side
105,1/14/2020,drop,valid,1,3,1,nothing on my side
106,1/14/2020,drop,valid,1,1,2,nothing on my side
107,1/16/2020,drop,valid,1,2,3,nothing on my side
108,1/14/2020,drop,valid,1,3,4,nothing on my side
109,1/13/2020,drop,valid,1,1,1,nothing on my side
110,1/13/2020,drop,valid,1,2,2,nothing on my side
111,1/12/2020,drop,valid,1,3,3,nothing on my side
112,1/16/2020,drop,valid,1,1,4,nothing on my side
113,1/17/2021,drop,valid,1,2,1,nothing on my side
114,1/14/2021,drop,valid,1,3,2,nothing on my side
115,1/13/2021,drop,valid,1,1,3,nothing on my side
116,1/14/2021,drop,valid,1,2,4,nothing on my side
117,2/17/2021,drop,valid,1,3,1,nothing on my side
118,2/15/2021,drop,valid,1,1,2,nothing on my side
119,2/17/2021,drop,valid,1,2,3,nothing on my side
120,2/14/2021,drop,valid,1,3,4,nothing on my side
121,2/17/2021,drop,valid,1,1,1,nothing on my side
122,2/15/2021,drop,valid,1,2,2,nothing on my side
123,2/19/2021,drop,valid,1,3,3,nothing on my side
124,2/17/2021,drop,valid,1,1,4,nothing on my side
125,2/19/2021,drop,valid,1,2,1,nothing on my side
126,2/16/2021,drop,valid,1,3,2,nothing on my side
127,2/15/2021,drop,valid,1,1,3,nothing on my side
128,2/18/2021,drop,valid,1,2,4,nothing on my side
129,2/20/2021,drop,valid,1,3,1,nothing on my side
130,2/17/2021,drop,valid,1,1,2,nothing on my side
131,2/19/2021,drop,valid,1,2,3,nothing on my side
132,2/16/2021,drop,valid,1,3,4,nothing on my side
133,2/17/2021,drop,valid,1,1,1,nothing on my side
134,2/19/2021,drop,valid,1,2,2,nothing on my side
135,2/19/2021,drop,valid,1,3,3,nothing on my side
136,2/17/2021,drop,valid,1,1,4,nothing on my side
137,2/20/2021,drop,valid,1,2,1,nothing on my side
138,2/19/2021,drop,valid,1,3,2,nothing on my side
139,2/18/2021,drop,valid,1,1,3,nothing on my side
140,2/21/2021,drop,valid,1,2,4,nothing on my side
141,2/19/2021,drop,valid,1,3,1,nothing on my side
142,2/21/2021,drop,valid,1,1,2,nothing on my side
143,2/22/2021,drop,valid,1,2,3,nothing on my side
144,3/21/2021,drop,valid,1,3,4,nothing on my side
145,3/21/2021,drop,valid,1,1,1,nothing on my side
146,3/21/2021,drop,valid,1,2,2,nothing on my side
147,3/22/2021,drop,valid,1,3,3,nothing on my side
148,3/21/2021,drop,valid,1,1,4,nothing on my side
149,3/21/2021,drop,valid,1,2,1,nothing on my side
150,3/24/2021,drop,valid,1,3,2,nothing on my side
151,3/22/2021,drop,valid,1,1,3,nothing on my side
152,3/23/2021,drop,valid,1,2,4,nothing on my side
153,3/24/2021,drop,valid,1,3,1,nothing on my side
154,3/21/2021,drop,valid,1,1,2,nothing on my side
155,3/25/2021,drop,valid,1,2,3,nothing on my side
156,3/21/2021,drop,valid,1,3,4,nothing on my side
157,3/23/2021,drop,valid,1,1,1,nothing on my side
158,3/24/2021,drop,valid,1,2,2,nothing on my side
159,3/21/2021,drop,valid,1,3,3,nothing on my side
160,3/24/2021,drop,valid,1,1,4,nothing on my side
161,3/25/2021,drop,valid,1,2,1,nothing on my side
162,12/27/2020,drop,valid,1,3,2,nothing on my side
163,12/27/2020,drop,valid,1,1,3,nothing on my side
164,12/28/2020,drop,valid,1,2,4,nothing on my side
165,12/28/2020,drop,valid,1,3,1,nothing on my side
166,1/29/2021,drop,valid,1,1,2,nothing on my side
167,1/29/2021,drop,valid,1,2,3,nothing on my side
168,1/25/2021,drop,valid,1,3,4,nothing on my side
169,1/26/2021,drop,valid,1,1,1,nothing on my side
170,1/29/2021,drop,valid,1,2,2,nothing on my side
171,2/23/2021,drop,valid,1,3,3,nothing on my side
172,2/28/2021,drop,valid,1,1,4,nothing on my side
173,2/26/2021,drop,valid,1,2,1,nothing on my side
174,2/24/2021,drop,valid,1,3,2,nothing on my side
175,2/27/2021,drop,valid,1,1,3,nothing on my side
176,2/28/2021,drop,valid,1,2,4,nothing on my side
177,3/27/2021,drop,valid,1,3,1,nothing on my side
178,3/27/2021,drop,valid,1,1,2,nothing on my side
179,3/28/2021,drop,valid,1,2,3,nothing on my side
180,3/28/2021,drop,valid,1,3,4,nothing on my side
181,3/28/2021,drop,valid,1,1,1,nothing on my side
182,4/29/2021,drop,valid,1,2,2,nothing on my side
183,4/29/2021,drop,valid,1,3,3,nothing on my side
184,4/28/2021,drop,valid,1,1,4,nothing on my side
185,4/29/2021,drop,valid,1,2,1,nothing on my side
186,4/29/2021,drop,valid,1,3,2,nothing on my side
187,5/29/2021,drop,valid,1,1,3,nothing on my side
188,5/27/2021,drop,valid,1,2,4,nothing on my side
189,5/28/2021,drop,valid,1,3,1,nothing on my side
190,5/29/2021,drop,valid,1,1,2,nothing on my side
191,5/31/2021,drop,valid,1,2,3,nothing on my side
192,5/27/2021,drop,valid,1,3,4,nothing on my side
193,6/28/2021,drop,valid,1,1,1,nothing on my side
194,6/27/2021,drop,valid,1,2,2,nothing on my side
195,6/27/2021,drop,valid,1,3,3,nothing on my side
196,7/1/2021,drop,valid,1,1,4,nothing on my side
197,6/28/2021,drop,valid,1,2,1,nothing on my side
198,8/1/2021,drop,valid,1,3,2,nothing on my side
199,7/28/2021,drop,valid,1,1,3,nothing on my side
200,8/1/2021,drop,valid,1,2,4,nothing on my side
201,8/1/2021,drop,valid,1,3,1,nothing on my side
202,7/28/2021,drop,valid,1,1,2,nothing on my side
203,8/30/2021,drop,valid,1,2,3,nothing on my side
204,8/29/2021,drop,valid,1,3,4,nothing on my side
205,9/1/2021,drop,valid,1,1,1,nothing on my side
206,8/29/2021,drop,valid,1,2,2,nothing on my side
207,9/1/2021,drop,valid,1,3,3,nothing on my side
208,8/31/2021,drop,valid,1,1,4,nothing on my side
209,10/1/2021,drop,valid,1,2,1,nothing on my side
210,9/29/2021,drop,valid,1,3,2,nothing on my side
211,9/29/2021,drop,valid,1,1,3,nothing on my side
212,10/1/2021,drop,valid,1,2,4,nothing on my side
213,9/29/2021,drop,valid,1,3,1,nothing on my side
214,10/28/2021,drop,valid,1,1,2,nothing on my side
215,10/28/2021,drop,valid,1,2,3,nothing on my side
216,10/30/2021,drop,valid,1,3,4,nothing on my side
217,10/29/2021,drop,valid,1,1,1,nothing on my side
218,10/29/2021,drop,valid,1,2,2,nothing on my side
219,11/28/2021,drop,valid,1,3,3,nothing on my side
220,11/30/2021,drop,valid,1,1,4,nothing on my side
221,12/1/2021,drop,valid,1,2,1,nothing on my side
222,11/27/2021,drop,valid,1,3,2,nothing on my side
223,12/1/2021,drop,valid,1,1,3,nothing on my side
224,11/28/2021,drop,valid,1,2,4,nothing on my side
225,10/7/2021,drop,valid,1,3,1,nothing on my side
226,10/7/2021,drop,valid,1,1,2,nothing on my side
227,10/8/2021,drop,valid,1,2,3,nothing on my side
228,10/8/2022,drop,valid,1,3,4,nothing on my side
229,10/8/2022,drop,valid,1,1,1,nothing on my side
230,10/5/2022,drop,valid,1,2,2,nothing on my side
231,10/7/2022,drop,valid,1,3,3,nothing on my side
232,10/8/2022,drop,valid,1,1,4,nothing on my side
233,10/9/2022,drop,valid,1,2,1,nothing on my side
234,10/8/2022,drop,valid,1,3,2,nothing on my side
235,10/6/2022,drop,valid,1,1,3,nothing on my side
236,10/7/2022,drop,valid,1,2,4,nothing on my side
237,10/9/2022,drop,valid,1,3,1,nothing on my side
238,10/9/2022,drop,valid,1,1,2,nothing on my side
239,10/6/2022,drop,valid,1,2,3,nothing on my side
240,10/10/2022,drop,valid,1,3,4,nothing on my side
241,10/7/2022,drop,valid,1,1,1,nothing on my side
242,10/9/2022,drop,valid,1,2,2,nothing on my side
243,10/9/2022,drop,valid,1,3,3,nothing on my side
244,10/8/2022,drop,valid,1,1,4,nothing on my side
245,10/10/2022,drop,valid,1,2,1,nothing on my side
246,10/10/2022,drop,valid,1,3,2,nothing on my side
247,10/9/2022,drop,valid,1,1,3,nothing on my side
248,10/11/2022,drop,valid,1,2,4,nothing on my side
249,10/10/2022,drop,valid,1,3,1,nothing on my side
250,10/10/2022,drop,valid,1,1,2,nothing on my side
251,11/11/2022,drop,valid,1,2,3,nothing on my side
252,11/12/2022,drop,valid,1,3,4,nothing on my side
253,11/11/2022,drop,valid,1,1,1,nothing on my side
254,11/10/2022,drop,valid,1,2,2,nothing on my side
255,11/13/2022,drop,valid,1,3,3,nothing on my side
256,11/11/2022,drop,valid,1,1,4,nothing on my side
257,11/13/2022,drop,valid,1,2,1,nothing on my side
258,11/11/2022,drop,valid,1,3,2,nothing on my side
259,11/10/2022,drop,valid,1,1,3,nothing on my side
260,11/10/2022,drop,valid,1,2,4,nothing on my side
261,11/14/2022,drop,valid,1,3,1,nothing on my side
262,11/12/2022,drop,valid,1,1,2,nothing on my side
263,11/11/2022,drop,valid,1,2,3,nothing on my side
264,11/12/2022,drop,valid,1,3,4,nothing on my side
265,11/15/2022,drop,valid,1,1,1,nothing on my side
266,11/15/2022,drop,valid,1,2,2,nothing on my side
267,11/11/2022,drop,valid,1,3,3,nothing on my side
268,11/13/2022,drop,valid,1,1,4,nothing on my side
269,11/14/2022,drop,valid,1,2,1,nothing on my side
270,11/14/2022,drop,valid,1,3,2,nothing on my side
271,11/13/2022,drop,valid,1,1,3,nothing on my side
272,11/16/2022,drop,valid,1,2,4,nothing on my side
273,11/15/2022,drop,valid,1,3,1,nothing on my side
274,11/15/2022,drop,valid,1,1,2,nothing on my side
275,11/17/2022,drop,valid,1,2,3,nothing on my side
276,11/13/2022,drop,valid,1,3,4,nothing on my side
277,11/16/2022,drop,valid,1,1,1,nothing on my side
278,11/14/2022,drop,valid,1,2,2,nothing on my side
279,11/16/2022,drop,valid,1,3,3,nothing on my side
280,11/18/2022,drop,valid,1,1,4,nothing on my side
281,11/16/2022,drop,valid,1,2,1,nothing on my side
282,11/14/2022,drop,valid,1,3,2,nothing on my side
283,11/18/2022,drop,valid,1,1,3,nothing on my side
284,11/15/2022,drop,valid,1,2,4,nothing on my side
285,11/15/2022,drop,valid,1,3,1,nothing on my side
286,11/19/2022,drop,valid,1,1,2,nothing on my side
287,11/19/2022,drop,valid,1,2,3,nothing on my side
288,11/19/2022,drop,valid,1,3,4,nothing on my side
289,11/17/2022,drop,valid,1,1,1,nothing on my side
290,11/19/2022,drop,valid,1,2,2,nothing on my side
291,11/16/2022,drop,valid,1,3,3,nothing on my side
292,11/16/2022,drop,valid,1,1,4,nothing on my side
293,11/17/2022,drop,valid,1,2,1,nothing on my side
294,11/21/2022,drop,valid,1,3,2,nothing on my side
295,11/20/2022,drop,valid,1,1,3,nothing on my side
296,11/18/2022,drop,valid,1,2,4,nothing on my side
297,11/20/2022,drop,valid,1,3,1,nothing on my side
298,11/21/2022,drop,valid,1,1,2,nothing on my side
299,11/18/2022,drop,valid,1,2,3,nothing on my side
300,11/20/2022,drop,valid,1,3,4,nothing on my side
301,11/20/2022,drop,valid,1,1,1,nothing on my side
302,11/21/2022,drop,valid,1,2,2,nothing on my side
303,11/21/2022,drop,valid,1,3,3,nothing on my side
304,11/21/2022,drop,valid,1,1,4,nothing on my side
305,11/20/2022,drop,valid,1,2,1,nothing on my side
306,11/23/2022,drop,valid,1,3,2,nothing on my side
307,11/19/2022,drop,valid,1,1,3,nothing on my side
308,11/22/2022,drop,valid,1,2,4,nothing on my side
309,11/19/2022,drop,valid,1,3,1,nothing on my side
310,11/22/2022,drop,valid,1,1,2,nothing on my side
311,11/20/2022,drop,valid,1,2,3,nothing on my side
312,11/21/2022,drop,valid,1,3,4,nothing on my side
313,11/22/2022,drop,valid,1,1,1,nothing on my side
314,11/22/2022,drop,valid,1,2,2,nothing on my side
315,11/21/2022,drop,valid,1,3,3,nothing on my side
316,11/23/2022,drop,valid,1,1,4,nothing on my side
317,11/21/2022,drop,valid,1,2,1,nothing on my side
318,11/24/2022,drop,valid,1,3,2,nothing on my side
319,11/25/2022,drop,valid,1,1,3,nothing on my side
320,11/24/2022,drop,valid,1,2,4,nothing on my side
321,11/24/2022,drop,valid,1,3,1,nothing on my side
322,11/23/2022,drop,valid,1,1,2,nothing on my side
323,1/5/2022,drop,valid,1,2,3,nothing on my side
324,1/4/2022,drop,valid,1,3,4,nothing on my side
325,1/2/2022,drop,valid,1,1,1,nothing on my side
326,1/3/2022,drop,valid,1,2,2,nothing on my side
327,2/4/2022,drop,valid,1,3,3,nothing on my side
328,2/5/2022,drop,valid,1,1,4,nothing on my side
329,2/2/2022,drop,valid,1,2,1,nothing on my side
330,2/5/2022,drop,valid,1,3,2,nothing on my side
331,2/3/2022,drop,valid,1,1,3,nothing on my side
332,3/6/2022,drop,valid,1,2,4,nothing on my side
333,3/4/2022,drop,valid,1,3,1,nothing on my side
334,3/4/2022,drop,valid,1,1,2,nothing on my side
335,3/4/2022,drop,valid,1,2,3,nothing on my side
336,3/4/2022,drop,valid,1,3,4,nothing on my side
337,3/3/2022,drop,valid,1,1,1,nothing on my side
338,4/6/2022,drop,valid,1,2,2,nothing on my side
339,4/3/2022,drop,valid,1,3,3,nothing on my side
340,4/6/2022,drop,valid,1,1,4,nothing on my side
341,4/2/2022,drop,valid,1,2,1,nothing on my side
342,4/6/2022,drop,valid,1,3,2,nothing on my side
343,5/5/2022,drop,valid,1,1,3,nothing on my side
344,5/6/2022,drop,valid,1,2,4,nothing on my side
345,5/5/2022,drop,valid,1,3,1,nothing on my side
346,5/6/2022,drop,valid,1,1,2,nothing on my side
347,5/2/2022,drop,valid,1,2,3,nothing on my side
348,6/3/2022,drop,valid,1,3,4,nothing on my side
349,6/2/2022,drop,valid,1,1,1,nothing on my side
350,6/4/2022,drop,valid,1,2,2,nothing on my side
351,6/6/2022,drop,valid,1,3,3,nothing on my side
352,6/5/2022,drop,valid,1,1,4,nothing on my side
353,6/6/2022,drop,valid,1,2,1,nothing on my side
354,7/3/2022,drop,valid,1,3,2,nothing on my side
355,7/6/2022,drop,valid,1,1,3,nothing on my side
356,7/5/2022,drop,valid,1,2,4,nothing on my side
357,7/5/2022,drop,valid,1,3,1,nothing on my side
358,7/6/2022,drop,valid,1,1,2,nothing on my side
359,8/2/2022,drop,valid,1,2,3,nothing on my side
360,8/6/2022,drop,valid,1,3,4,nothing on my side
361,8/3/2022,drop,valid,1,1,1,nothing on my side
362,8/5/2022,drop,valid,1,2,2,nothing on my side
363,8/6/2022,drop,valid,1,3,3,nothing on my side
364,9/3/2022,drop,valid,1,1,4,nothing on my side
365,9/4/2022,drop,valid,1,2,1,nothing on my side
366,9/5/2022,drop,valid,1,3,2,nothing on my side
367,9/3/2022,drop,valid,1,1,3,nothing on my side
368,9/5/2022,drop,valid,1,2,4,nothing on my side
369,9/5/2022,drop,valid,1,3,1,nothing on my side
370,10/6/2022,drop,valid,1,1,2,nothing on my side
371,10/5/2022,drop,valid,1,2,3,nothing on my side
372,10/2/2022,drop,valid,1,3,4,nothing on my side
373,10/6/2022,drop,valid,1,1,1,nothing on my side
374,10/2/2022,drop,valid,1,2,2,nothing on my side
375,11/6/2022,drop,valid,1,3,3,nothing on my side
376,11/6/2022,drop,valid,1,1,4,nothing on my side
377,11/2/2022,drop,valid,1,2,1,nothing on my side
378,11/4/2022,drop,valid,1,3,2,nothing on my side
379,11/4/2022,drop,valid,1,1,3,nothing on my side
380,12/5/2022,drop,valid,1,2,4,nothing on my side
381,12/3/2022,drop,valid,1,3,1,nothing on my side
382,12/3/2022,drop,valid,1,1,2,nothing on my side
383,12/2/2022,drop,valid,1,2,3,nothing on my side
384,12/5/2022,drop,valid,1,3,4,nothing on my side
385,12/6/2022,drop,valid,1,1,1,nothing on my side
386,11/8/2022,drop,valid,1,2,2,nothing on my side
387,11/4/2022,drop,valid,1,3,3,nothing on my side
388,11/4/2022,drop,valid,1,1,4,nothing on my side
389,11/6/2022,drop,valid,1,2,1,nothing on my side
390,11/5/2022,drop,valid,1,3,2,nothing on my side
391,11/7/2022,drop,valid,1,1,3,nothing on my side
392,11/9/2022,drop,valid,1,2,4,nothing on my side
393,11/6/2022,drop,valid,1,3,1,nothing on my side
394,11/7/2022,drop,valid,1,1,2,nothing on my side
395,11/9/2022,drop,valid,1,2,3,nothing on my side
396,11/5/2022,drop,valid,1,3,4,nothing on my side
397,11/9/2022,drop,valid,1,1,1,nothing on my side
398,11/9/2022,drop,valid,1,2,2,nothing on my side
399,11/9/2022,drop,valid,1,3,3,nothing on my side
400,11/10/2022,drop,valid,1,1,4,nothing on my side
401,11/9/2022,drop,valid,1,2,1,nothing on my side
402,11/9/2022,drop,valid,1,3,2,nothing on my side
403,11/10/2022,drop,valid,1,1,3,nothing on my side
404,11/9/2022,drop,valid,1,2,4,nothing on my side
405,11/9/2022,drop,valid,1,3,1,nothing on my side
406,11/7/2022,drop,valid,1,1,2,nothing on my side
407,11/9/2022,drop,valid,1,2,3,nothing on my side
408,11/11/2022,drop,valid,1,3,4,nothing on my side
409,11/12/2022,drop,valid,1,1,1,nothing on my side
410,11/9/2022,drop,valid,1,2,2,nothing on my side
411,11/11/2023,drop,valid,1,3,3,nothing on my side
412,11/11/2023,drop,valid,1,1,4,nothing on my side
413,11/10/2023,drop,valid,1,2,1,nothing on my side
414,11/10/2023,drop,valid,1,3,2,nothing on my side
415,11/12/2023,drop,valid,1,1,3,nothing on my side
416,11/11/2023,drop,valid,1,2,4,nothing on my side
417,11/9/2023,drop,valid,1,3,1,nothing on my side
418,11/12/2023,drop,valid,1,1,2,nothing on my side
419,11/11/2023,drop,valid,1,2,3,nothing on my side
420,11/12/2023,drop,valid,1,3,4,nothing on my side
421,11/12/2023,drop,valid,1,1,1,nothing on my side
422,11/14/2023,drop,valid,1,2,2,nothing on my side
423,11/15/2023,drop,valid,1,3,3,nothing on my side
424,11/12/2023,drop,valid,1,1,4,nothing on my side
425,11/13/2023,drop,valid,1,2,1,nothing on my side
426,11/13/2023,drop,valid,1,3,2,nothing on my side
427,11/12/2023,drop,valid,1,1,3,nothing on my side
428,11/13/2023,drop,valid,1,2,4,nothing on my side
429,11/13/2023,drop,valid,1,3,1,nothing on my side
430,11/12/2023,drop,valid,1,1,2,nothing on my side
431,11/13/2023,drop,valid,1,2,3,nothing on my side
432,11/12/2023,drop,valid,1,3,4,nothing on my side
433,11/16/2023,drop,valid,1,1,1,nothing on my side
434,11/15/2023,drop,valid,1,2,2,nothing on my side
435,11/16/2023,drop,valid,1,3,3,nothing on my side
436,11/13/2023,drop,valid,1,1,4,nothing on my side
437,11/13/2023,drop,valid,1,2,1,nothing on my side
438,11/15/2023,drop,valid,1,3,2,nothing on my side
439,11/15/2023,drop,valid,1,1,3,nothing on my side
440,11/18/2023,drop,valid,1,2,4,nothing on my side
441,11/14/2023,drop,valid,1,3,1,nothing on my side
442,11/16/2023,drop,valid,1,1,2,nothing on my side
443,11/18/2023,drop,valid,1,2,3,nothing on my side
444,11/16/2023,drop,valid,1,3,4,nothing on my side
445,11/18/2023,drop,valid,1,1,1,nothing on my side
446,11/19/2023,drop,valid,1,2,2,nothing on my side
447,11/16/2023,drop,valid,1,3,3,nothing on my side
448,11/18/2023,drop,valid,1,1,4,nothing on my side
449,11/18/2023,drop,valid,1,2,1,nothing on my side
450,11/16/2023,drop,valid,1,3,2,nothing on my side
451,11/16/2023,drop,valid,1,1,3,nothing on my side
452,11/18/2023,drop,valid,1,2,4,nothing on my side
453,11/16/2023,drop,valid,1,3,1,nothing on my side
454,11/19/2023,drop,valid,1,1,2,nothing on my side
455,11/20/2024,drop,valid,1,2,3,nothing on my side
456,11/20/2024,drop,valid,1,3,4,nothing on my side
457,11/19/2024,drop,valid,1,1,1,nothing on my side
458,11/17/2024,drop,valid,1,2,2,nothing on my side
459,11/19/2024,drop,valid,1,3,3,nothing on my side
460,11/17/2024,drop,valid,1,1,4,nothing on my side
461,11/19/2024,drop,valid,1,2,1,nothing on my side
462,11/20/2024,drop,valid,1,3,2,nothing on my side
463,11/18/2024,drop,valid,1,1,3,nothing on my side
464,11/18/2024,drop,valid,1,2,4,nothing on my side
465,11/21/2024,drop,valid,1,3,1,nothing on my side
466,11/22/2024,drop,valid,1,1,2,nothing on my side
467,11/23/2024,drop,valid,1,2,3,nothing on my side
468,11/22/2024,drop,valid,1,3,4,nothing on my side
469,11/21/2024,drop,valid,1,1,1,nothing on my side
470,11/22/2024,drop,valid,1,2,2,nothing on my side
471,11/23/2024,drop,valid,1,3,3,nothing on my side
472,11/20/2024,drop,valid,1,1,4,nothing on my side
473,11/23/2024,drop,valid,1,2,1,nothing on my side
474,11/22/2024,drop,valid,1,3,2,nothing on my side
475,11/23/2024,drop,valid,1,1,3,nothing on my side
476,11/22/2024,drop,valid,1,2,4,nothing on my side
477,11/24/2024,drop,valid,1,3,1,nothing on my side
478,11/25/2024,drop,valid,1,1,2,nothing on my side
479,11/23/2024,drop,valid,1,2,3,nothing on my side
480,11/21/2024,drop,valid,1,3,4,nothing on my side
481,11/21/2024,drop,valid,1,1,1,nothing on my side
482,11/22/2024,drop,valid,1,2,2,nothing on my side
483,11/25/2024,drop,valid,1,3,3,nothing on my side
484,1/4/2024,drop,valid,1,1,4,nothing on my side
485,1/6/2024,drop,valid,1,2,1,nothing on my side
486,1/2/2024,drop,valid,1,3,2,nothing on my side
487,1/2/2024,drop,valid,1,1,3,nothing on my side
488,2/5/2024,drop,valid,1,2,4,nothing on my side
489,2/5/2024,drop,valid,1,3,1,nothing on my side
490,2/4/2024,drop,valid,1,1,2,nothing on my side
491,2/5/2024,drop,valid,1,2,3,nothing on my side
492,2/3/2024,drop,valid,1,3,4,nothing on my side
493,3/5/2024,drop,valid,1,1,1,nothing on my side
494,3/3/2024,drop,valid,1,2,2,nothing on my side
495,3/4/2024,drop,valid,1,3,3,nothing on my side
496,3/4/2024,drop,valid,1,1,4,nothing on my side
